userName,score,at,content
crus Of,1,2024-08-29 13:51:29,Apk ini enak di hapus aja di plastore apk burik mau masuk login tidak bisa sala Mulu dan kata & email benar tetap sala burik la
fauzan azhari,5,2024-08-28 01:15:39,turunkan harga game day gone beri konsumen harga potongan besar besaran begitu juga game good of war ragnarog dan elden ring.plis soni ngertiin isi dompet kami yg main ps 4 sama ps 5.😊
Toggy Mamora,5,2024-08-25 04:38:47,Oke... Bagus... Cool...
M AZEL ARTA S,3,2024-08-24 01:24:47,Please Adakan kirim kode selain dari gmail dong atau gmail backup biar kodenya terkirim atau login pake selain email dong saya kesusahan untuk mendapatkan kodenya
Rahmat Jadino,5,2024-08-23 03:12:31,"beri gue bintang 7, puuuuciiing loch gue @#!!$#₩₩₩!!!"
fathan athrahim,1,2024-08-22 08:51:30,"aplikasi kntl,aku udah masukin kata sandi akunnya betul,belum juga lagi udah pake bantuan gabisa juga,aplikasi ini gaboleh kalian donwload,dasar anak haram,sing in aja gabisa ngapain buat aplikasi"
TheLazy Sunday,4,2024-08-17 23:43:09,Tolong perbaiki server nya. Saya mau download cuplikan video error' melulu.
Nugie ramadhan,2,2024-08-10 10:40:39,Download video cuplikan beberapa kali eror
Arif Gunawan,5,2024-08-04 14:39:16,Game yang android di PlayStation app ini?
Marquez Stm kece,1,2024-08-02 15:21:55,Ini knp nah padahal udah isi kata Sandi dan emailnya malah gak bisa udah riset tetap aku kasih bintang 1 .....
adrian ronaldi,5,2024-07-30 14:17:06,Sangat membantu
Firly Nor Rahman,5,2024-07-24 18:19:44,Terima kasih untuk developer dan publisher
wisnu ardiyansyah,4,2024-07-24 06:28:22,Bagaimana cara login? Ketika verifikasi 2 langkah? Ada nomer CS nya kah
Hanzs ll Kyce,2,2024-07-23 14:19:57,Bug blank screen saat ingin menukarkan kode
TIAR,1,2024-07-18 14:03:58,Im so sad because no list PlayStation3🥹
karl Mirage,1,2024-07-17 15:40:35,"Game jaman sekarang rilis di ps 5 , ps 4 di anak tirikan,"
Dark Elf,1,2024-07-09 20:24:59,"HEII, KENAPA MASIH ADA BUG GAME YANG BARU KITA MAININ GAK MUNCUL DI BERANDA LAGI HEIIII"
Nayla Hidayatul,1,2024-07-08 11:17:40,Bagus tp gebag
Siwon S,1,2024-07-08 09:50:55,"Gak bisa msk akun, padahal email n pss udah bener"
Faras Aufa,1,2024-07-08 08:55:58,Kenapa punya saya pada saat masuk ke akunya gak bisa masuk pas ngapain sandi
Dika Andika,1,2024-07-05 08:21:48,Gak bisa masuk juga sudah ganti kata sandi gem nya bodoh
Khasyi Maliq Purwaniskala,1,2024-07-05 00:29:42,"Saya tidak bisa sign in. Gagal terus, mohon PlayStation untuk memperbaiki ini"
Dewanto Koeswinandaru,5,2024-07-04 15:51:53,good
Mizu Ra2,1,2024-07-03 01:42:01,Aplikasi lemot
safik fahreza,1,2024-06-30 15:30:34,saya sudah melakukan pembayaran untuk pembelian game dan pembeliann pun sudah sukses uangpun sudah terpotong akan tetapi game masih belum terbeli.
